session_end,entry,tp,sweep,trades,win_rate,profit_factor,net_$,avg_rr,max_dd%,final_bal
11:30,limit,3R,False,1714,52.8,1.75,27816.0,1.57,-109.1,37816.0
11:30,limit,2R,False,1714,57.0,1.73,19915.0,1.31,-146.6,29915.0
11:30,limit,1R,False,1714,69.7,1.73,2039.0,0.75,-214.7,12039.0
11:30,limit,pdh_pdl,False,1714,53.1,1.69,22934.0,1.5,-152.3,32934.0
11:30,limit,1R,True,1099,69.4,1.69,-1245.0,0.75,-146.1,8755.0
16:00,limit,1R,False,2139,67.8,1.63,-1900.0,0.78,-290.0,8100.0
16:00,limit,2R,False,2139,55.8,1.63,15419.0,1.29,-234.4,25419.0
16:00,limit,3R,False,2139,51.8,1.62,21183.0,1.51,-207.4,31183.0
11:30,limit,3R,True,1099,51.8,1.6,9339.0,1.49,-110.9,19339.0
11:30,limit,2R,True,1099,56.0,1.6,5520.0,1.26,-122.0,15520.0
11:30,limit,pdh_pdl,True,1099,50.5,1.6,10912.0,1.57,-119.9,20912.0
16:00,limit,pdh_pdl,False,2139,52.2,1.57,16285.0,1.44,-260.0,26285.0
16:00,limit,1R,True,1483,67.4,1.56,-6329.0,0.76,-232.7,3671.0
16:00,limit,2R,True,1483,55.2,1.52,2275.0,1.23,-201.6,12275.0
16:00,limit,3R,True,1483,51.2,1.5,4352.0,1.43,-198.4,14352.0
16:00,limit,pdh_pdl,True,1483,50.1,1.49,5934.0,1.49,-212.8,15934.0
11:30,market,3R,False,1716,39.3,0.76,-46953.0,1.18,-479.4,-36953.0
11:30,market,2R,False,1716,40.5,0.74,-48772.0,1.08,-493.9,-38772.0
11:30,market,pdh_pdl,False,1641,41.4,0.71,-49436.0,1.0,-496.0,-39436.0
16:00,market,3R,False,2141,38.6,0.71,-63985.0,1.12,-638.2,-53985.0
16:00,market,2R,False,2141,39.7,0.69,-65330.0,1.05,-651.6,-55330.0
11:30,market,1R,False,1716,46.6,0.68,-50454.0,0.78,-503.4,-40454.0
16:00,market,pdh_pdl,False,2069,40.4,0.66,-66378.0,0.97,-662.0,-56378.0
11:30,market,3R,True,1100,37.2,0.65,-38134.0,1.1,-377.3,-28134.0
16:00,market,1R,False,2141,45.3,0.65,-65607.0,0.78,-653.9,-55607.0
11:30,market,pdh_pdl,True,1078,38.4,0.64,-38080.0,1.03,-376.7,-28080.0
11:30,market,2R,True,1100,38.3,0.63,-38873.0,1.02,-383.5,-28873.0
16:00,market,3R,True,1484,37.1,0.62,-53269.0,1.04,-526.8,-43269.0
11:30,market,1R,True,1100,44.6,0.62,-36225.0,0.77,-359.8,-26225.0
16:00,market,pdh_pdl,True,1459,38.0,0.61,-52757.0,1.0,-521.7,-42757.0
16:00,market,2R,True,1484,37.9,0.6,-54318.0,0.97,-535.5,-44318.0
16:00,market,1R,True,1484,43.7,0.59,-50668.0,0.76,-501.8,-40668.0
