entry_date,exit_date,direction,entry_price,exit_price,sl_price,tp_price,qty,exit_reason,pnl,pnl_pct,risk_amount
2026-01-28 10:30:00-05:00,2026-01-29 09:45:00-05:00,SHORT,633.9,627.96,636.41,627.96,80,tp,395.0,3.9818,200.0
2026-02-11 09:45:00-05:00,2026-02-11 10:00:00-05:00,SHORT,613.51,611.99,617.52,611.99,51,tp,26.35,0.2567,206.3
2026-02-13 10:15:00-05:00,2026-02-17 09:45:00-05:00,LONG,600.42,596.42,596.42,614.43,51,sl,-255.2,-2.4923,205.81
2026-02-20 10:15:00-05:00,2026-02-20 10:30:00-05:00,LONG,604.38,604.45,599.23,604.45,39,tp,-36.0,-0.3619,199.68
2026-02-27 10:00:00-05:00,2026-03-02 09:30:00-05:00,LONG,604.12,602.19,602.19,614.4,103,sl,-301.6,-3.0756,198.18
2026-03-02 10:00:00-05:00,2026-03-02 11:00:00-05:00,LONG,603.46,607.04,597.99,607.04,35,tp,90.3,0.9536,190.09
2026-03-06 10:00:00-05:00,2026-03-06 15:30:00-05:00,LONG,599.93,598.54,598.54,611.22,138,sl,-329.71,-3.4994,191.2
2026-03-09 10:30:00-04:00,2026-03-09 15:15:00-04:00,LONG,595.0,604.53,592.31,604.53,68,tp,580.04,6.4276,181.84
2026-03-10 10:00:00-04:00,2026-03-10 10:30:00-04:00,SHORT,605.79,609.96,609.96,592.57,46,sl,-238.0,-2.49,192.08
2026-03-19 09:45:00-04:00,2026-03-20 09:45:00-04:00,LONG,588.93,587.08,587.08,601.98,101,sl,-287.98,-3.1237,186.4
2026-03-24 11:15:00-04:00,2026-03-25 15:45:00-04:00,LONG,585.17,587.73,582.05,593.97,57,force_close,88.68,0.9993,178.62
